Value Date,HY Excess Return
2019-09-04,-0.202143
2019-09-03,-0.257127
2019-09-02,0.0
2019-08-30,-1.143808
2019-08-29,-1.109379
2019-08-28,-1.370959
2019-08-27,-1.380479
2019-08-26,-1.36572
2019-08-23,-1.556731
2019-08-22,-1.211489
2019-08-21,-1.464375
2019-08-20,-1.875759
2019-08-19,-1.840645
2019-08-16,-2.26158
2019-08-15,-2.403511
2019-08-14,-2.194082
2019-08-13,-1.522932
2019-08-12,-1.868087
2019-08-09,-1.564732
2019-08-08,-1.619496
2019-08-07,-2.181466
2019-08-06,-1.81706
2019-08-05,-1.981515
2019-08-02,-0.86844
2019-08-01,-0.574159
2019-07-31,0.655621
2019-07-30,0.583749
2019-07-29,0.650092
2019-07-26,0.712187
2019-07-25,0.581898
2019-07-24,0.458065
2019-07-23,0.362845
2019-07-22,0.17199
2019-07-19,0.110153
2019-07-18,0.043008
2019-07-17,0.338499
2019-07-16,0.568735
2019-07-15,0.491804
2019-07-12,0.460463
2019-07-11,0.48881
2019-07-10,0.417852
2019-07-09,0.411136
2019-07-08,0.439276
2019-07-05,0.487551
2019-07-04,
2019-07-03,0.206431
2019-07-02,0.148772
2019-07-01,0.305659
2019-06-28,1.537753
2019-06-27,1.457636
2019-06-26,1.626914
2019-06-25,1.433294
2019-06-24,1.671131
2019-06-21,1.783831
2019-06-20,1.598819
2019-06-19,1.116855
2019-06-18,1.14221
2019-06-17,0.955697
2019-06-14,0.939626
2019-06-13,0.926035
2019-06-12,1.060467
2019-06-11,1.219239
2019-06-10,1.081166
2019-06-07,0.62633
2019-06-06,0.408852
2019-06-05,0.249758
2019-06-04,0.115291
2019-06-03,-0.374096
2019-05-31,-2.499279
2019-05-30,-1.815673
2019-05-29,-1.891783
2019-05-28,-1.486763
2019-05-27,
2019-05-24,-1.266395
2019-05-23,-1.421504
2019-05-22,-0.839328
2019-05-21,-0.715863
2019-05-20,-0.864102
2019-05-17,-0.968416
2019-05-16,-0.947349
2019-05-15,-1.23125
2019-05-14,-1.044258
2019-05-13,-1.19101
2019-05-10,-0.662501
2019-05-09,-0.578829
2019-05-08,-0.240262
2019-05-07,-0.309816
2019-05-06,-0.0366
2019-05-03,0.157986
2019-05-02,0.122991
2019-05-01,0.101869
2019-04-30,1.369397
2019-04-29,1.464829
2019-04-26,1.318884
2019-04-25,1.40687
2019-04-24,1.388584
2019-04-23,1.470563
2019-04-22,1.447651
2019-04-19,
2019-04-18,1.404533
2019-04-17,1.543282
2019-04-16,1.619208
2019-04-15,1.466609
2019-04-12,1.442424
2019-04-11,1.090175
2019-04-10,0.820188
2019-04-09,0.818699
2019-04-08,0.835897
2019-04-07,
2019-04-05,0.722653
2019-04-04,0.594685
2019-04-03,0.578377
2019-04-02,0.362414
2019-04-01,0.411899
2019-03-29,-0.226687
2019-03-28,-0.52246
2019-03-27,-0.62177
2019-03-26,-0.529287
2019-03-25,-0.656113
2019-03-22,-0.375001
2019-03-21,0.029767
2019-03-20,-0.155748
2019-03-19,0.050106
2019-03-18,-0.061464
2019-03-15,-0.151184
2019-03-14,-0.112177
2019-03-13,-0.245262
2019-03-12,-0.456572
2019-03-11,-0.538546
2019-03-08,-0.740494
2019-03-07,-0.455918
2019-03-06,-0.151629
2019-03-05,0.038419
2019-03-04,0.102129
2019-03-01,0.188857
2019-02-28,1.746371
2019-02-27,1.610981
2019-02-26,1.373771
2019-02-25,1.373331
2019-02-22,1.174291
2019-02-21,1.238982
2019-02-20,1.079137
2019-02-19,0.945231
2019-02-18,
2019-02-15,0.942066
2019-02-14,0.729007
2019-02-13,0.904019
2019-02-12,0.745342
2019-02-11,0.418048
2019-02-09,
2019-02-08,0.258641
2019-02-07,0.426687
2019-02-06,0.907603
2019-02-05,0.82465
2019-02-04,0.536637
2019-02-01,0.339691
2019-01-31,4.079336
2019-01-30,3.864125
2019-01-29,3.77864
2019-01-28,3.821893
2019-01-25,3.969658
2019-01-24,3.582821
2019-01-23,3.807828
2019-01-22,3.780433
2019-01-21,
2019-01-18,4.137152
2019-01-17,3.639942
2019-01-16,3.51876
2019-01-15,3.127554
2019-01-14,3.025182
2019-01-11,3.154172
2019-01-10,3.201867
2019-01-09,3.172678
2019-01-08,2.693183
2019-01-07,1.997727
2019-01-04,1.104786
2019-01-03,-0.360671
2019-01-02,0.006965
2018-12-31,-3.660355
2018-12-28,-3.5768
2018-12-27,-3.872365
2018-12-26,-3.78959
2018-12-25,
2018-12-24,-3.884501
2018-12-21,-3.338712
2018-12-20,-3.123931
2018-12-19,-1.943941
2018-12-18,-1.542149
2018-12-17,-0.948575
2018-12-14,-0.578236
2018-12-13,-0.316796
2018-12-12,-0.315608
2018-12-11,-0.644538
2018-12-10,-0.934461
2018-12-07,-0.742853
2018-12-06,-0.764716
2018-12-05,
2018-12-04,0.02909
2018-12-03,0.380479
2018-11-30,-1.554524
2018-11-29,-1.523124
2018-11-28,-1.597046
2018-11-27,-1.846622
2018-11-26,-1.649504
2018-11-23,-1.824072
2018-11-22,
2018-11-21,-1.630949
2018-11-20,-1.911016
2018-11-19,-1.644459
2018-11-16,-1.436978
2018-11-15,-1.119065
2018-11-14,-0.691665
2018-11-13,-0.197608
2018-11-12,
2018-11-09,0.409261
2018-11-08,0.941714
2018-11-07,0.826917
2018-11-06,0.524654
2018-11-05,0.383187
2018-11-02,0.360079
2018-11-01,-0.003456
2018-10-31,-1.590813
2018-10-30,-1.938882
2018-10-29,-1.826054
2018-10-26,-1.878062
2018-10-25,-1.37568
2018-10-24,-1.252615
2018-10-23,-1.137223
2018-10-22,-0.676336
2018-10-19,-0.656102
2018-10-18,-0.704591
2018-10-17,-0.430066
2018-10-16,-0.467498
2018-10-15,-0.61769
2018-10-12,-0.765011
2018-10-11,-0.912847
2018-10-10,-0.657511
2018-10-09,-0.321484
2018-10-08,
2018-10-05,0.014202
2018-10-04,0.137742
2018-10-03,0.495748
2018-10-02,0.228
2018-10-01,0.255801
2018-09-28,1.038291
2018-09-27,1.004411
2018-09-26,0.943382
2018-09-25,1.020333
2018-09-24,0.980754
2018-09-21,0.988043
2018-09-20,1.005453
2018-09-19,1.026836
2018-09-18,0.982233
2018-09-17,0.811196
2018-09-14,0.773582
2018-09-13,0.622817
2018-09-12,0.476807
2018-09-11,0.40696
2018-09-10,0.196067
2018-09-07,0.129652
2018-09-06,-0.079005
2018-09-05,0.026291
2018-09-04,0.137056
2018-09-03,0.0
2018-08-31,0.139193
2018-08-30,0.22733
2018-08-29,0.35197
2018-08-28,0.340286
2018-08-27,0.206324
2018-08-24,0.055286
2018-08-23,-0.019244
2018-08-22,-0.048017
2018-08-21,-0.069773
