,Column,Data Types,Non-Null Count
VIXCLS,VIXCLS,float64,6741
CPIAUCSL,CPIAUCSL,float64,320
DGS2,DGS2,float64,6684
DGS10,DGS10,float64,6684
DGS30,DGS30,float64,6684
VIXCLS.1,VIXCLS.1,float64,6741
TEDRATE,TEDRATE,float64,5902
BAA10Y,BAA10Y,float64,6679
DSPIC96,DSPIC96,float64,319
A229RX0,A229RX0,float64,319
CMRMTSPL,CMRMTSPL,float64,318
INDPRO,INDPRO,float64,320
IPFPNSS,IPFPNSS,float64,320
IPFINAL,IPFINAL,float64,320
IPCONGD,IPCONGD,float64,320
IPDCONGD,IPDCONGD,float64,320
IPNCONGD,IPNCONGD,float64,320
IPBUSEQ,IPBUSEQ,float64,320
IPMAT,IPMAT,float64,320
IPDMAT,IPDMAT,float64,320
IPNMAT,IPNMAT,float64,320
IPMANSICS,IPMANSICS,float64,320
IPB51222S,IPB51222S,float64,320
IPFUELS,IPFUELS,float64,320
CUMFNS,CUMFNS,float64,320
CLF16OV,CLF16OV,float64,320
CE16OV,CE16OV,float64,320
UNRATE,UNRATE,float64,320
UEMPMEAN,UEMPMEAN,float64,320
UEMPLT5,UEMPLT5,float64,320
UEMP5TO14,UEMP5TO14,float64,320
UEMP15OV,UEMP15OV,float64,320
UEMP15T26,UEMP15T26,float64,320
UEMP27OV,UEMP27OV,float64,320
PAYEMS,PAYEMS,float64,320
USGOOD,USGOOD,float64,320
CES1021000001,CES1021000001,float64,320
USCONS,USCONS,float64,320
MANEMP,MANEMP,float64,320
DMANEMP,DMANEMP,float64,320
SRVPRD,SRVPRD,float64,320
USWTRADE,USWTRADE,float64,320
USTRADE,USTRADE,float64,320
USFIRE,USFIRE,float64,320
USGOVT,USGOVT,float64,320
CES0600000007,CES0600000007,float64,320
AWOTMAN,AWOTMAN,float64,320
HOUST,HOUST,float64,320
HOUSTNE,HOUSTNE,float64,320
HOUSTMW,HOUSTMW,float64,320
HOUSTS,HOUSTS,float64,320
HOUSTW,HOUSTW,float64,320
ISRATIO,ISRATIO,float64,319
M1SL,M1SL,float64,319
M2SL,M2SL,float64,319
M2REAL,M2REAL,float64,319
AMBSL,AMBSL,float64,263
BUSLOANS,BUSLOANS,float64,320
REALLN,REALLN,float64,320
WPSFD49207,WPSFD49207,float64,320
WPSFD49502,WPSFD49502,float64,320
WPSID61,WPSID61,float64,320
WPSID62,WPSID62,float64,320
MZMSL,MZMSL,float64,277
NONREVNS,NONREVNS,float64,319
REVOLNS,REVOLNS,float64,319
PNFIC1,PNFIC1,float64,70
BAMLHYH0A0HYM2TRIV,BAMLHYH0A0HYM2TRIV,float64,6980
BAMLCC0A0CMTRIV,BAMLCC0A0CMTRIV,float64,6980
DGS10.1,DGS10.1,float64,6684
DGS2.1,DGS2.1,float64,6684
DGS30.1,DGS30.1,float64,6684
DGS5,DGS5,float64,6684
DGS7,DGS7,float64,6684
DGS1,DGS1,float64,6684
DGS20,DGS20,float64,6684
Close,Close,float64,6723
