Date,USGG2YR Index,USGG10YR Index,USGG30YR Index,VIX Index,MOVE Index,AAIIBULL Index,AAIIBEAR Index,SPX Index - 14Day RSI,SPX Index - 30Day RSI,.TED G Index,.BAA10YB Index,BFCIUS Index,L98TRUU Index,SPX Index - Last Measure,VIX Open,VIX High,VIX Low,VIX Close,VIX Adj Close
1998-09-01,,,,,,,,,,,,,,,41.740002000000004,44.939999,36.080002,36.48,36.48
1998-09-02,4.929,5.068,5.333,36.76,105.16,23.0,45.0,30.84,38.46,70.375,170.2,-1.02,521.29,,35.209998999999996,36.759997999999996,34.02,36.759997999999996,36.759997999999996
1998-09-03,4.904,5.028,5.303,41.43,104.88,23.0,40.0,29.75,37.65,75.575,174.2,-1.34,521.2,,40.959998999999996,42.68,40.009997999999996,41.43,41.43
1998-09-04,4.902,5.013,5.288,43.31,102.65,23.0,40.0,28.63,36.84,73.775,175.7,-1.421,521.3,,40.66,44.189999,40.580002,43.310001,43.310001
1998-09-07,4.902,5.011,5.284,43.31,102.65,23.0,40.0,28.63,36.84,73.875,175.9,-1.425,521.3,,,,,,
1998-09-08,4.918,5.061,5.3629999999999995,37.9,90.66,23.0,40.0,42.39,44.2,72.875,170.9,-1.084,521.72,,40.110001000000004,40.34,37.700001,37.900002,37.900002
1998-09-09,4.759,4.921,5.2620000000000005,39.66,94.23,23.0,40.0,39.53,42.42,72.694,184.9,-1.242,522.13,,37.860001000000004,39.799999,37.560001,39.66,39.66
1998-09-10,4.6,4.781,5.204,45.29,109.19,29.0,40.0,35.63,39.92,78.75,198.9,-1.665,522.13,,43.889998999999996,46.560001,43.720001,45.290001000000004,45.290001000000004
1998-09-11,4.6899999999999995,4.83,5.229,43.74,120.14,29.0,40.0,42.42,43.73,64.3,194.0,-1.329,521.5,,47.950001,48.060001,43.740002000000004,43.740002000000004,43.740002000000004
1998-09-14,4.698,4.857,5.23,38.57,110.04,29.0,40.0,46.75,46.26,66.5,191.3,-1.106,521.55,,40.889998999999996,40.889998999999996,37.529999,38.57,38.57
1998-09-15,4.731,4.8870000000000005,5.26,36.58,116.1,29.0,40.0,48.36,47.21,71.3,188.3,-1.098,520.44,,38.369999,38.73,36.43,36.580002,36.580002
1998-09-16,4.7379999999999995,4.871,5.221,35.94,109.74,29.0,40.0,49.96,48.13,78.6,189.9,-1.161,520.4,,35.93,37.73,35.720001,35.939999,35.939999
1998-09-17,4.662,4.776,5.179,39.23,120.18,34.0,31.0,44.86,45.33,82.8,199.4,-1.452,520.76,,39.43,40.110001000000004,38.82,39.23,39.23
1998-09-18,4.609,4.695,5.147,38.63,127.03,34.0,31.0,45.14,45.48,89.2,207.5,-1.595,521.03,,39.439999,39.84,38.509997999999996,38.630001,38.630001
1998-09-21,4.634,4.674,5.125,38.58,122.71,34.0,31.0,46.04,45.96,84.1,209.6,-1.5190000000000001,521.1,,42.740002000000004,42.740002000000004,38.389998999999996,38.580002,38.580002
1998-09-22,4.642,4.709,5.152,36.62,117.4,34.0,31.0,47.46,46.69,70.3,206.1,-1.161,521.41,,37.849998,38.91,36.470001,36.619999,36.619999
1998-09-23,4.564,4.668,5.168,32.47,118.09,34.0,31.0,55.44,51.05,81.7,210.2,-1.164,522.59,,35.029999,35.139998999999996,32.439999,32.470001,32.470001
1998-09-24,4.434,4.63,5.164,34.66,122.12,34.0,28.0,50.18,48.43,84.85,214.0,-1.321,523.29,,33.779999,35.900002,33.060001,34.66,34.66
1998-09-25,4.397,4.5600000000000005,5.109,34.55,128.16,34.0,28.0,50.62,48.66,81.85,221.0,-1.3599999999999999,523.35,,37.139998999999996,37.290001000000004,33.91,34.549999,34.549999
1998-09-28,4.43,4.589,5.141,34.87,124.81,34.0,28.0,51.51,49.13,88.15,218.1,-1.413,524.34,,34.200001,35.240002000000004,33.52,34.869999,34.869999
1998-09-29,4.446,4.566,5.094,36.08,113.56,34.0,28.0,51.59,49.17,91.95,220.4,-1.561,524.49,,37.169998,38.389998999999996,35.740002000000004,36.080002,36.080002
1998-09-30,4.273,4.42,4.978,40.95,124.22,34.0,28.0,44.09,45.55,95.15,185.0,-1.99,525.29,,37.16,41.150002,37.099998,40.950001,40.950001
1998-10-01,4.15,4.298,4.882,43.48,141.17,32.0,33.0,38.35,42.46,107.65,197.2,-2.359,526.07,,41.900002,43.98,41.849998,43.48,43.48
1998-10-02,4.165,4.28,4.84,40.47,136.03,32.0,33.0,42.61,44.52,111.85,199.0,-2.289,525.73,,42.169998,43.380001,40.25,40.470001,40.470001
1998-10-05,4.024,4.162,4.716,42.81,144.74,32.0,33.0,40.03,43.13,120.25,210.8,-2.605,526.2,,42.650002,45.560001,42.299999,42.810001,42.810001
1998-10-06,4.073,4.197,4.735,41.2,141.68,32.0,33.0,39.31,42.74,116.531,207.3,-2.493,524.1,,40.16,42.049999,39.720001,41.200001,41.200001
1998-10-07,4.138,4.401,4.86,43.51,157.12,32.0,33.0,36.8,41.39,124.809,186.9,-2.58,522.66,,40.98,44.84,40.66,43.509997999999996,43.509997999999996
1998-10-08,4.129,4.5600000000000005,4.999,45.74,195.0,25.0,32.0,34.86,40.32,144.875,171.0,-2.9290000000000003,519.09,,47.07,49.529999,45.580002,45.740002000000004,45.740002000000004
1998-10-09,4.194,4.784,5.115,42.2,186.0,25.0,32.0,42.14,43.66,145.075,148.6,-2.653,513.41,,43.279999,45.360001000000004,41.849998,42.200001,42.200001
1998-10-12,4.185,4.78,5.117,40.07,179.12,25.0,32.0,45.64,45.35,145.075,149.0,-2.549,513.41,,40.549999,40.560001,39.400002,40.07,40.07
1998-10-13,4.109,4.7219999999999995,5.089,40.23,167.29,25.0,32.0,45.0,45.04,146.566,154.8,-2.607,513.1,,40.970001,41.599998,39.959998999999996,40.23,40.23
1998-10-14,4.093,4.609,5.031,38.96,163.7,25.0,32.0,47.9,46.42,134.006,166.1,-2.415,512.25,,40.919998,40.93,38.009997999999996,38.959998999999996,38.959998999999996
1998-10-15,3.817,4.399,4.967,33.34,167.99,25.0,41.0,57.37,51.34,143.828,187.1,-2.5220000000000002,507.75,,39.610001000000004,39.66,32.41,33.34,33.34
1998-10-16,3.865,4.444,4.978,34.82,158.0,25.0,41.0,59.07,52.31,160.391,182.6,-2.778,509.44,,34.009997999999996,35.779999,33.619999,34.82,34.82
1998-10-19,3.8890000000000002,4.471,4.983,33.13,148.11,25.0,41.0,60.22,52.95,140.0,179.9,-2.347,509.1,,35.939999,36.009997999999996,32.41,33.130001,33.130001
1998-10-20,3.988,4.575,5.069,33.11,146.0,25.0,41.0,60.53,53.12,119.944,169.5,-1.974,509.45,,30.809998999999998,33.360001000000004,29.82,33.110001000000004,33.110001000000004
