Value Date,HY Daily Total Return,HY Excess Return
2019-09-04,0.133904,-0.202143
2019-09-03,-0.122222,-0.257127
2019-09-02,0.0,0.0
2019-08-30,0.038598,-1.143808
2019-08-29,0.130585,-1.109379
2019-08-28,0.088062,-1.370959
2019-08-27,0.105507,-1.380479
2019-08-26,0.126813,-1.36572
2019-08-23,-0.085989,-1.556731
2019-08-22,0.150828,-1.211489
2019-08-21,0.299415,-1.464375
2019-08-20,0.103556,-1.875759
2019-08-19,0.254091,-1.840645
2019-08-16,0.172827,-2.26158
2019-08-15,-0.011511,-2.403511
2019-08-14,-0.436579,-2.194082
2019-08-13,0.160702,-1.522932
2019-08-12,-0.057661,-1.868087
2019-08-09,-0.006895,-1.564732
2019-08-08,0.447595,-1.619496
2019-08-07,-0.207526,-2.181466
2019-08-06,0.150826,-1.81706
2019-08-05,-0.692613,-1.981515
2019-08-02,-0.249647,-0.86844
2019-08-01,-0.075182,-0.574159
2019-07-31,0.07364,0.655621
2019-07-30,-0.085679,0.583749
2019-07-29,0.027945,0.650092
2019-07-26,0.113277,0.712187
2019-07-25,0.038155,0.581898
2019-07-24,0.126574,0.458065
2019-07-23,0.122493,0.362845
2019-07-22,0.09072,0.17199
2019-07-19,0.013623,0.110153
2019-07-18,-0.17355,0.043008
2019-07-17,-0.0613,0.338499
2019-07-16,-0.013878,0.568735
2019-07-15,0.085602,0.491804
2019-07-12,0.015383,0.460463
2019-07-11,-0.053754,0.48881
2019-07-10,0.119646,0.417852
2019-07-09,-0.108974,0.411136
2019-07-08,-0.027322,0.439276
2019-07-05,-0.027468,0.487551
2019-07-04,,
2019-07-03,0.100913,0.206431
2019-07-02,-0.00612,0.148772
2019-07-01,0.193265,0.305659
2019-06-28,0.123137,1.537753
2019-06-27,-0.020792,1.457636
2019-06-26,-0.02744,1.626914
2019-06-25,-0.159747,1.433294
2019-06-24,0.061485,1.671131
2019-06-21,-0.016418,1.783831
2019-06-20,0.584144,1.598819
2019-06-19,0.167186,1.116855
2019-06-18,0.241516,1.14221
2019-06-17,0.032723,0.955697
2019-06-14,-0.023667,0.939626
2019-06-13,0.041589,0.926035
2019-06-12,-0.048414,1.060467
2019-06-11,0.111468,1.219239
2019-06-10,0.279359,1.081166
2019-06-07,0.32906,0.62633
2019-06-06,0.126179,0.408852
2019-06-05,0.18487,0.249758
2019-06-04,0.36661,0.115291
2019-06-03,-0.094974,-0.374096
2019-05-31,-0.338263,-2.499279
2019-05-30,0.111835,-1.815673
2019-05-29,-0.308935,-1.891783
2019-05-28,1.8e-05,-1.486763
2019-05-27,,
2019-05-24,0.02953,-1.266395
2019-05-23,-0.246853,-1.421504
2019-05-22,-0.015153,-0.839328
2019-05-21,0.087075,-0.715863
2019-05-20,0.050336,-0.864102
2019-05-17,0.004883,-0.968416
2019-05-16,0.190427,-0.947349
2019-05-15,-0.043034,-1.23125
2019-05-14,0.112296,-1.044258
2019-05-13,-0.333282,-1.19101
2019-05-10,-0.062239,-0.662501
2019-05-09,-0.223392,-0.578829
2019-05-08,-0.022261,-0.240262
2019-05-07,-0.135209,-0.309816
2019-05-06,-0.066722,-0.0366
2019-05-03,0.09642,0.157986
2019-05-02,-0.130076,0.122991
2019-05-01,0.049868,0.101869
2019-04-30,0.026747,1.369397
2019-04-29,0.088646,1.464829
2019-04-26,0.036253,1.318884
2019-04-25,-0.019502,1.40687
2019-04-24,0.072675,1.388584
2019-04-23,0.11216,1.470563
2019-04-22,0.00242,1.447651
2019-04-19,,
2019-04-18,-0.035206,1.404533
2019-04-17,-0.051154,1.543282
2019-04-16,0.053387,1.619208
2019-04-15,0.062681,1.466609
2019-04-12,0.178485,1.442424
2019-04-11,0.173572,1.090175
2019-04-10,0.082047,0.820188
2019-04-09,0.045622,0.818699
2019-04-08,0.086165,0.835897
2019-04-07,,
2019-04-05,0.141575,0.722653
2019-04-04,0.019706,0.594685
2019-04-03,0.12286,0.578377
2019-04-02,0.026836,0.362414
2019-04-01,0.186737,0.411899
2019-03-29,0.206909,-0.226687
2019-03-28,0.041747,-0.52246
2019-03-27,0.040879,-0.62177
2019-03-26,0.135682,-0.529287
2019-03-25,-0.080142,-0.656113
2019-03-22,-0.099595,-0.375001
2019-03-21,0.171347,0.029767
2019-03-20,0.061939,-0.155748
2019-03-19,0.084454,0.050106
2019-03-18,0.060924,-0.061464
2019-03-15,0.069903,-0.151184
2019-03-14,0.083655,-0.112177
2019-03-13,0.2172,-0.245262
2019-03-12,0.186774,-0.456572
2019-03-11,0.173851,-0.538546
2019-03-08,-0.247421,-0.740494
2019-03-07,-0.097515,-0.455918
2019-03-06,-0.081569,-0.151629
2019-03-05,-0.060275,0.038419
2019-03-04,0.02995,0.102129
2019-03-01,0.039125,0.188857
2019-02-28,0.079849,1.746371
2019-02-27,0.095238,1.610981
2019-02-26,0.112133,1.373771
2019-02-25,0.162158,1.373331
2019-02-22,0.074869,1.174291
2019-02-21,0.04097,1.238982
2019-02-20,0.123511,1.079137
2019-02-19,0.109207,0.945231
2019-02-18,,
2019-02-15,0.158333,0.942066
2019-02-14,0.007554,0.729007
2019-02-13,0.059827,0.904019
2019-02-12,0.263729,0.745342
2019-02-11,0.071178,0.418048
2019-02-09,,
2019-02-08,-0.096341,0.258641
2019-02-07,-0.304956,0.426687
2019-02-06,0.1122,0.907603
2019-02-05,0.3448,0.82465
2019-02-04,0.112206,0.536637
2019-02-01,0.125058,0.339691
2019-01-31,0.454549,4.079336
2019-01-30,0.215851,3.864125
2019-01-29,0.081434,3.77864
2019-01-28,-0.085001,3.821893
2019-01-25,0.226474,3.969658
2019-01-24,-0.049456,3.582821
2019-01-23,-0.045244,3.807828
2019-01-22,-0.141831,3.780433
2019-01-21,,
2019-01-18,0.305914,4.137152
2019-01-17,0.068146,3.639942
2019-01-16,0.302091,3.51876
2019-01-15,0.12077,3.127554
2019-01-14,-0.112586,3.025182
2019-01-11,0.066878,3.154172
2019-01-10,0.036025,3.201867
2019-01-09,0.482319,3.172678
2019-01-08,0.515052,2.693183
2019-01-07,0.781243,1.997727
2019-01-04,1.054798,1.104786
2019-01-03,0.097192,-0.360671
2019-01-02,0.060414,0.006965
2018-12-31,0.156018,-3.660355
2018-12-28,0.359588,-3.5768
2018-12-27,0.166292,-3.872365
2018-12-26,-0.08843,-3.78959
2018-12-25,,
2018-12-24,-0.333328,-3.884501
2018-12-21,-0.184198,-3.338712
2018-12-20,-1.280435,-3.123931
2018-12-19,-0.26044,-1.943941
2018-12-18,-0.428562,-1.542149
2018-12-17,-0.229531,-0.948575
2018-12-14,-0.150761,-0.578236
2018-12-13,0.03642,-0.316796
2018-12-12,0.266103,-0.315608
2018-12-11,0.173078,-0.644538
2018-12-10,-0.209225,-0.934461
2018-12-07,0.196618,-0.742853
2018-12-06,-0.603342,-0.764716
2018-12-05,,
2018-12-04,-0.164034,0.02909
2018-12-03,0.429272,0.380479
2018-11-30,0.028352,-1.554524
2018-11-29,0.094997,-1.523124
2018-11-28,0.330762,-1.597046
2018-11-27,-0.15205,-1.846622
2018-11-26,0.133149,-1.649504
2018-11-23,-0.145147,-1.824072
2018-11-22,,
2018-11-21,0.2342,-1.630949
2018-11-20,-0.284697,-1.911016
2018-11-19,-0.097242,-1.644459
2018-11-16,-0.167886,-1.436978
2018-11-15,-0.363221,-1.119065
2018-11-14,-0.370445,-0.691665
2018-11-13,-0.397722,-0.197608
2018-11-12,,
2018-11-09,-0.370911,0.409261
2018-11-08,0.050306,0.941714
2018-11-07,0.266317,0.826917
2018-11-06,0.091006,0.524654
2018-11-05,0.077068,0.383187
2018-11-02,0.100994,0.360079
2018-11-01,0.083244,-0.003456
2018-10-31,0.210254,-1.590813
2018-10-30,-0.198575,-1.938882
2018-10-29,0.028589,-1.826054
2018-10-26,-0.259816,-1.878062
2018-10-25,-0.170022,-1.37568
2018-10-24,0.047935,-1.252615
2018-10-23,-0.33347,-1.137223
2018-10-22,0.011503,-0.676336
2018-10-19,-0.046016,-0.656102
2018-10-18,-0.234326,-0.704591
2018-10-17,-0.023169,-0.430066
2018-10-16,0.158858,-0.467498
2018-10-15,0.092933,-0.61769
2018-10-12,0.150803,-0.765011
2018-10-11,0.001443,-0.912847
2018-10-10,-0.348144,-0.657511
2018-10-09,-0.259897,-0.321484
2018-10-08,,
2018-10-05,-0.191279,0.014202
2018-10-04,-0.460488,0.137742
2018-10-03,-0.017449,0.495748
2018-10-02,0.04163,0.228
2018-10-01,0.191561,0.255801
2018-09-28,0.091942,1.038291
2018-09-27,0.054285,1.004411
2018-09-26,0.059212,0.943382
2018-09-25,-0.024418,1.020333
2018-09-24,-0.010601,0.980754
2018-09-21,0.013407,0.988043
2018-09-20,-0.011792,1.005453
2018-09-19,-0.034708,1.026836
2018-09-18,0.051159,0.982233
2018-09-17,0.050086,0.811196
2018-09-14,0.040308,0.773582
2018-09-13,0.138468,0.622817
2018-09-12,0.120885,0.476807
2018-09-11,0.060547,0.40696
2018-09-10,0.09193,0.196067
2018-09-07,-0.041922,0.129652
2018-09-06,-0.008846,-0.079005
2018-09-05,-0.093011,0.026291
2018-09-04,0.008801,0.137056
2018-09-03,0.0,0.0
2018-08-31,-0.017673,0.139193
2018-08-30,-0.033516,0.22733
2018-08-29,0.00657,0.35197
2018-08-28,0.024639,0.340286
2018-08-27,0.097141,0.206324
2018-08-24,0.044587,0.055286
2018-08-23,0.020516,-0.019244
2018-08-22,0.100242,-0.048017
2018-08-21,0.091416,-0.069773
2018-08-20,0.101286,-0.240873
2018-08-17,0.042056,-0.150122
2018-08-16,0.084426,-0.182095
2018-08-15,-0.103114,-0.341371
2018-08-14,0.023082,-0.082149
2018-08-13,-0.027621,-0.169852
2018-08-10,-0.125786,-0.177417
2018-08-09,-0.006843,0.230141
2018-08-08,0.009116,0.351465
2018-08-07,0.134696,0.362248
2018-08-06,0.108927,0.099554
2018-08-03,0.108418,0.050395
2018-08-02,0.022963,0.073486
2018-08-01,0.02985,0.129485
2018-07-31,0.101372,1.281656
2018-07-30,0.06942,1.208763
2018-07-27,0.043617,1.13644
2018-07-26,0.11015,1.141231
2018-07-25,0.031017,0.904925
2018-07-24,0.082671,0.90299
2018-07-23,0.054671,0.855802
2018-07-20,0.00945,0.593555
2018-07-19,0.003439,0.482418
2018-07-18,0.045308,0.586095
2018-07-17,0.010323,0.521059
2018-07-16,0.018285,0.484301
2018-07-13,0.074109,0.396039
2018-07-12,0.118324,0.419458
2018-07-11,-0.066093,0.262634
2018-07-10,0.145379,0.428836
2018-07-09,0.222249,0.222376
2018-07-06,0.099026,-0.081435
2018-07-05,0.05112,-0.114974
2018-07-04,,
2018-07-03,0.097085,-0.188213
2018-07-02,-0.234426,-0.183292
2018-06-29,0.049125,0.401055
2018-06-28,-0.292182,0.330812
2018-06-27,-0.10694,0.556983
2018-06-26,-0.061601,0.855455
2018-06-25,-0.118743,0.902965
2018-06-22,0.006182,1.14384
2018-06-21,-0.049326,1.130221
2018-06-20,0.083759,1.291531
2018-06-19,-0.081354,1.113118
2018-06-18,0.000181,1.302871
2018-06-15,0.020951,1.325821
2018-06-14,0.101518,1.363643
2018-06-13,0.109792,1.38567
2018-06-12,0.093731,1.163087
2018-06-11,0.122162,1.061485
2018-06-08,3.9e-05,0.859168
2018-06-07,0.124968,0.875007
2018-06-06,0.096552,0.889785
2018-06-05,0.089027,0.602816
2018-06-04,0.125914,0.605103
2018-06-01,0.088034,0.33623
2018-05-31,0.076711,-0.653142
2018-05-30,0.102565,-0.698227
2018-05-29,-0.201712,-1.090664
2018-05-28,,
2018-05-25,-0.034497,-0.235771
2018-05-24,0.023869,-0.023957
2018-05-23,-0.07735,0.042404
2018-05-22,0.039794,0.363102
2018-05-21,0.037406,0.326833
2018-05-18,-0.056034,0.288135
2018-05-17,-0.018021,0.507179
2018-05-16,-0.031962,0.547989
2018-05-15,-0.156302,0.521828
2018-05-14,0.070681,0.410344
2018-05-11,0.046057,0.294959
2018-05-10,0.088279,0.255873
2018-05-09,0.02493,0.222636
2018-05-08,-0.010828,0.083751
2018-05-07,0.130524,0.028878
2018-05-04,0.048551,-0.093626
2018-05-03,-0.108962,-0.136405
2018-05-02,0.084289,0.037391
2018-05-01,-0.104902,0.011478
2018-04-30,0.015984,1.207994
2018-04-27,0.050694,1.271677
2018-04-26,0.18839,1.316895
2018-04-25,-0.254054,1.215417
2018-04-24,-0.224353,1.392605
2018-04-23,-0.152116,1.606937
2018-04-20,-0.075092,1.692135
2018-04-19,-0.346696,1.661034
2018-04-18,0.042691,1.901818
2018-04-17,0.159811,1.660003
2018-04-16,0.164973,1.542731
2018-04-13,0.16493,1.35172
2018-04-12,0.158274,1.202671
2018-04-11,0.076401,0.861865
2018-04-10,0.270129,0.833096
2018-04-09,0.120859,0.479898
2018-04-07,,
2018-04-06,0.041649,0.336076
2018-04-05,0.292266,0.485893
2018-04-04,0.028357,0.080112
2018-04-03,0.018322,0.04214
2018-04-02,-0.089896,-0.180127
2018-03-30,0.0,-1.143274
2018-03-29,0.055894,-1.143274
2018-03-28,-0.061809,-1.080305
2018-03-27,0.106632,-1.005556
2018-03-26,0.011344,-0.924791
2018-03-23,-0.119769,-0.997772
2018-03-22,-0.112244,-0.81518
2018-03-21,0.02594,-0.456918
2018-03-20,-0.058177,-0.520501
2018-03-19,-0.117582,-0.599059
2018-03-16,0.003297,-0.455006
2018-03-15,-0.075332,-0.547154
2018-03-14,-0.104856,-0.504934
2018-03-13,-0.042643,-0.302998
2018-03-12,0.029258,-0.226432
2018-03-09,0.080496,-0.159771
2018-03-08,0.030316,-0.311173
2018-03-07,-0.101155,-0.286231
2018-03-06,0.176158,-0.203016
2018-03-05,0.16066,-0.366294
2018-03-02,-0.311829,-0.573547
2018-03-01,-0.179031,-0.442878
2018-02-28,0.021778,-0.517181
2018-02-27,-0.026937,-0.429055
2018-02-26,0.296598,-0.581437
2018-02-23,-0.017985,-0.810666
2018-02-22,-0.162477,-0.656503
2018-02-21,-0.015024,-0.40161
2018-02-20,0.128246,-0.505724
2018-02-19,,
2018-02-16,0.313405,-0.675158
2018-02-15,0.390883,-0.933441
2018-02-14,-0.00092,-1.276221
2018-02-13,-0.234936,-1.570173
2018-02-12,0.333495,-1.315842
2018-02-09,-0.699536,-1.752971
2018-02-08,-0.462451,-0.910556
2018-02-07,0.240944,-0.481872
2018-02-06,-0.331883,-0.947908
2018-02-05,-0.219524,-0.55944
2018-02-02,-0.300861,-0.073001
2018-02-01,-0.098444,0.043537
2018-01-31,0.052793,1.493645
2018-01-30,-0.252518,1.413314
2018-01-29,-0.085304,1.612031
